#Person location Sublocation StartTime EndTime Type
10000 9910000 1 0 22500 1
10000 1 1 22500 23100 2
10000 1 3 23100 24000 2
10000 968 1 24000 24900 4
10000 968 2 24900 25200 5
10000 1 2 25200 115200 3
10000 1 1 115200 115800 2
10000 1 3 115800 116700 2
10000 9910000 1 116700 159000 1
10000 1 1 159000 159600 2
10000 1 3 159600 160500 2
10000 969 1 160500 161400 4
10000 969 2 161400 161700 5
10000 1 2 161700 251700 3
10000 1 1 251700 252300 2
10000 1 3 252300 253200 2
10000 9910000 1 253200 295500 1
10000 1 1 295500 296100 2
10000 1 3 296100 297000 2
10000 969 1 297000 297900 4
10000 969 2 297900 298200 5
10000 969 1 298200 299100 4
10000 969 2 299100 299400 5
10000 1 2 299400 389400 3
10000 1 1 389400 390000 2
10000 1 3 390000 390900 2
10000 9910000 1 390900 433200 1
10000 1 1 433200 433800 2
10000 1 3 433800 434700 2
10000 969 1 434700 435600 4
10000 969 2 435600 435900 5
10000 969 1 435900 436800 4
10000 969 2 436800 437100 5
10000 968 1 437100 438000 4
10000 968 2 438000 438300 5
10000 1 2 438300 528300 3
10000 1 1 528300 528900 2
10000 1 3 528900 529800 2
10000 9910000 1 529800 572100 1
10000 1 1 572100 572700 2
10000 1 3 572700 573600 2
10000 968 1 573600 574500 4
10000 968 2 574500 574800 5
10000 968 1 574800 575700 4
10000 968 2 575700 576000 5
10000 969 1 576000 576900 4
10000 969 2 576900 577200 5
10000 1 2 577200 667200 3
10000 1 1 667200 667800 2
10000 1 3 667800 668700 2
10000 9910000 1 668700 711000 1
10000 1 1 711000 711600 2
10000 1 3 711600 712500 2
10000 968 1 712500 713400 4
10000 968 2 713400 713700 5
10000 1 2 713700 803700 3
10000 1 1 803700 804300 2
10000 1 3 804300 805200 2
10000 9910000 1 805200 847500 1
10000 1 1 847500 848100 2
10000 1 3 848100 849000 2
10000 968 1 849000 849900 4
10000 968 2 849900 850200 5
10000 968 1 850200 851100 4
10000 968 2 851100 851400 5
10000 1 2 851400 941400 3
10000 1 1 941400 942000 2
10000 1 3 942000 942900 2
10000 9910000 1 942900 985200 1
10000 1 1 985200 985800 2
10000 1 3 985800 986700 2
10000 969 1 986700 987600 4
10000 969 2 987600 987900 5
10000 969 1 987900 988800 4
10000 969 2 988800 989100 5
10000 1 2 989100 1079100 3
10000 1 1 1079100 1079700 2
10000 1 3 1079700 1080600 2
10000 9910000 1 1080600 1122900 1
10000 1 1 1122900 1123500 2
10000 1 3 1123500 1124400 2
10000 969 1 1124400 1125300 4
10000 969 2 1125300 1125600 5
10000 1 2 1125600 1215600 3
10000 1 1 1215600 1216200 2
10000 1 3 1216200 1217100 2
10000 9910000 1 1217100 1259400 1
10000 1 1 1259400 1260000 2
10000 1 3 1260000 1260900 2
10000 968 1 1260900 1261800 4
10000 968 2 1261800 1262100 5
10000 1 2 1262100 1352100 3
10000 1 1 1352100 1352700 2
10000 1 3 1352700 1353600 2
10000 9910000 1 1353600 1395900 1
10000 1 1 1395900 1396500 2
10000 1 3 1396500 1397400 2
10000 969 1 1397400 1398300 4
10000 969 2 1398300 1398600 5
10000 968 1 1398600 1399500 4
10000 968 2 1399500 1399800 5
10000 969 1 1399800 1400700 4
10000 969 2 1400700 1401000 5
10000 969 1 1401000 1401900 4
10000 969 2 1401900 1402200 5
10000 90400 1 1402200 1402800 6
10000 969 1 1402800 1403700 4
10000 969 2 1403700 1404000 5
10000 1 2 1404000 1494000 3
10000 1 1 1494000 1494600 2
10000 1 3 1494600 1495500 2
10000 9910000 1 1495500 1537800 1
10000 1 1 1537800 1538400 2
10000 1 3 1538400 1539300 2
10000 969 1 1539300 1540200 4
10000 969 2 1540200 1540500 5
10000 969 1 1540500 1541400 4
10000 969 2 1541400 1541700 5
10000 969 1 1541700 1542600 4
10000 969 2 1542600 1542900 5
10000 968 1 1542900 1543800 4
10000 968 2 1543800 1544100 5
10000 1 2 1544100 1634100 3
10000 1 1 1634100 1634700 2
10000 1 3 1634700 1635600 2
10000 9910000 1 1635600 1677900 1
10000 1 1 1677900 1678500 2
10000 1 3 1678500 1679400 2
10000 969 1 1679400 1680300 4
10000 969 2 1680300 1680600 5
10000 1 2 1680600 1770600 3
10000 1 1 1770600 1771200 2
10000 1 3 1771200 1772100 2
10000 9910000 1 1772100 1814400 1
10000 1 1 1814400 1815000 2
10000 1 3 1815000 1815900 2
10000 969 1 1815900 1816800 4
10000 969 2 1816800 1817100 5
10000 1 2 1817100 1907100 3
10000 1 1 1907100 1907700 2
10000 1 3 1907700 1908600 2
10000 9910000 1 1908600 1950900 1
10000 1 1 1950900 1951500 2
10000 1 3 1951500 1952400 2
10000 969 1 1952400 1953300 4
10000 969 2 1953300 1953600 5
10000 969 1 1953600 1954500 4
10000 969 2 1954500 1954800 5
10000 968 1 1954800 1955700 4
10000 968 2 1955700 1956000 5
10000 969 1 1956000 1956900 4
10000 969 2 1956900 1957200 5
10000 968 1 1957200 1958100 4
10000 968 2 1958100 1958400 5
10000 968 1 1958400 1959300 4
10000 968 2 1959300 1959600 5
10000 968 1 1959600 1960500 4
10000 968 2 1960500 1960800 5
10000 1 2 1960800 2050800 3
10000 1 1 2050800 2051400 2
10000 1 3 2051400 2052300 2
10000 9910000 1 2052300 2094600 1
10000 1 1 2094600 2095200 2
10000 1 3 2095200 2096100 2
10000 968 1 2096100 2097000 4
10000 968 2 2097000 2097300 5
10000 1 2 2097300 2187300 3
10000 1 1 2187300 2187900 2
10000 1 3 2187900 2188800 2
10000 9910000 1 2188800 2231100 1
10000 1 1 2231100 2231700 2
10000 1 3 2231700 2232600 2
10000 968 1 2232600 2233500 4
10000 968 2 2233500 2233800 5
10000 969 1 2233800 2234700 4
10000 969 2 2234700 2235000 5
10000 1 2 2235000 2325000 3
10000 1 1 2325000 2325600 2
10000 1 3 2325600 2326500 2
10000 9910000 1 2326500 2368800 1
10000 1 1 2368800 2369400 2
10000 1 3 2369400 2370300 2
10000 969 1 2370300 2371200 4
10000 969 2 2371200 2371500 5
10000 90400 1 2371500 2372100 6
10000 969 1 2372100 2373000 4
10000 969 2 2373000 2373300 5
10000 968 1 2373300 2374200 4
10000 968 2 2374200 2374500 5
10000 968 1 2374500 2375400 4
10000 968 2 2375400 2375700 5
10000 968 1 2375700 2376600 4
10000 968 2 2376600 2376900 5
10000 968 1 2376900 2377800 4
10000 968 2 2377800 2378100 5
10000 1 2 2378100 2468100 3
10000 1 1 2468100 2468700 2
10000 1 3 2468700 2469600 2
10000 9910000 1 2469600 2511900 1
10000 1 1 2511900 2512500 2
10000 1 3 2512500 2513400 2
10000 968 1 2513400 2514300 4
10000 968 2 2514300 2514600 5
10000 90400 1 2514600 2515200 6
10000 968 1 2515200 2516100 4
10000 968 2 2516100 2516400 5
10000 1 2 2516400 2606400 3
10000 1 1 2606400 2607000 2
10000 1 3 2607000 2607900 2
10001 9910001 1 0 22500 1
10001 1 1 22500 23100 2
10001 1 3 23100 24000 2
10001 971 1 24000 24900 4
10001 971 2 24900 25200 5
10001 970 1 25200 26100 4
10001 970 2 26100 26400 5
10001 1 2 26400 116400 3
10001 1 1 116400 117000 2
10001 1 3 117000 117900 2
10001 9910001 1 117900 160200 1
10001 1 1 160200 160800 2
10001 1 3 160800 161700 2
10001 970 1 161700 162600 4
10001 970 2 162600 162900 5
10001 971 1 162900 163800 4
10001 971 2 163800 164100 5
10001 1 2 164100 254100 3
10001 1 1 254100 254700 2
10001 1 3 254700 255600 2
10001 9910001 1 255600 297900 1
10001 1 1 297900 298500 2
10001 1 3 298500 299400 2
10001 970 1 299400 300300 4
10001 970 2 300300 300600 5
10001 1 2 300600 390600 3
10001 1 1 390600 391200 2
10001 1 3 391200 392100 2
10001 9910001 1 392100 434400 1
10001 1 1 434400 435000 2
10001 1 3 435000 435900 2
10001 971 1 435900 436800 4
10001 971 2 436800 437100 5
10001 971 1 437100 438000 4
10001 971 2 438000 438300 5
10001 1 2 438300 528300 3
10001 1 1 528300 528900 2
10001 1 3 528900 529800 2
10001 9910001 1 529800 572100 1
10001 1 1 572100 572700 2
10001 1 3 572700 573600 2
10001 970 1 573600 574500 4
10001 970 2 574500 574800 5
10001 971 1 574800 575700 4
10001 971 2 575700 576000 5
10001 971 1 576000 576900 4
10001 971 2 576900 577200 5
10001 1 2 577200 667200 3
10001 1 1 667200 667800 2
10001 1 3 667800 668700 2
10001 9910001 1 668700 711000 1
10001 1 1 711000 711600 2
10001 1 3 711600 712500 2
10001 970 1 712500 713400 4
10001 970 2 713400 713700 5
10001 970 1 713700 714600 4
10001 970 2 714600 714900 5
10001 971 1 714900 715800 4
10001 971 2 715800 716100 5
10001 970 1 716100 717000 4
10001 970 2 717000 717300 5
10001 971 1 717300 718200 4
10001 971 2 718200 718500 5
10001 971 1 718500 719400 4
10001 971 2 719400 719700 5
10001 970 1 719700 720600 4
10001 970 2 720600 720900 5
10001 1 2 720900 810900 3
10001 1 1 810900 811500 2
10001 1 3 811500 812400 2
10001 9910001 1 812400 854700 1
10001 1 1 854700 855300 2
10001 1 3 855300 856200 2
10001 971 1 856200 857100 4
10001 971 2 857100 857400 5
10001 1 2 857400 947400 3
10001 1 1 947400 948000 2
10001 1 3 948000 948900 2
10001 9910001 1 948900 991200 1
10001 1 1 991200 991800 2
10001 1 3 991800 992700 2
10001 970 1 992700 993600 4
10001 970 2 993600 993900 5
10001 90400 1 993900 994500 6
10001 970 1 994500 995400 4
10001 970 2 995400 995700 5
10001 970 1 995700 996600 4
10001 970 2 996600 996900 5
10001 90400 1 996900 997500 6
10001 970 1 997500 998400 4
10001 970 2 998400 998700 5
10001 970 1 998700 999600 4
10001 970 2 999600 999900 5
10001 971 1 999900 1000800 4
10001 971 2 1000800 1001100 5
10001 1 2 1001100 1091100 3
10001 1 1 1091100 1091700 2
10001 1 3 1091700 1092600 2
10001 9910001 1 1092600 1134900 1
10001 1 1 1134900 1135500 2
10001 1 3 1135500 1136400 2
10001 970 1 1136400 1137300 4
10001 970 2 1137300 1137600 5
10001 970 1 1137600 1138500 4
10001 970 2 1138500 1138800 5
10001 1 2 1138800 1228800 3
10001 1 1 1228800 1229400 2
10001 1 3 1229400 1230300 2
10001 9910001 1 1230300 1272600 1
10001 1 1 1272600 1273200 2
10001 1 3 1273200 1274100 2
10001 971 1 1274100 1275000 4
10001 971 2 1275000 1275300 5
10001 1 2 1275300 1365300 3
10001 1 1 1365300 1365900 2
10001 1 3 1365900 1366800 2
10001 9910001 1 1366800 1409100 1
10001 1 1 1409100 1409700 2
10001 1 3 1409700 1410600 2
10001 971 1 1410600 1411500 4
10001 971 2 1411500 1411800 5
10001 1 2 1411800 1501800 3
10001 1 1 1501800 1502400 2
10001 1 3 1502400 1503300 2
10001 9910001 1 1503300 1545600 1
10001 1 1 1545600 1546200 2
10001 1 3 1546200 1547100 2
10001 971 1 1547100 1548000 4
10001 971 2 1548000 1548300 5
10001 1 2 1548300 1638300 3
10001 1 1 1638300 1638900 2
10001 1 3 1638900 1639800 2
10001 9910001 1 1639800 1682100 1
10001 1 1 1682100 1682700 2
10001 1 3 1682700 1683600 2
10001 970 1 1683600 1684500 4
10001 970 2 1684500 1684800 5
10001 1 2 1684800 1774800 3
10001 1 1 1774800 1775400 2
10001 1 3 1775400 1776300 2
10001 9910001 1 1776300 1818600 1
10001 1 1 1818600 1819200 2
10001 1 3 1819200 1820100 2
10001 971 1 1820100 1821000 4
10001 971 2 1821000 1821300 5
10001 1 2 1821300 1911300 3
10001 1 1 1911300 1911900 2
10001 1 3 1911900 1912800 2
10001 9910001 1 1912800 1955100 1
10001 1 1 1955100 1955700 2
10001 1 3 1955700 1956600 2
10001 971 1 1956600 1957500 4
10001 971 2 1957500 1957800 5
10001 1 2 1957800 2047800 3
10001 1 1 2047800 2048400 2
10001 1 3 2048400 2049300 2
10001 9910001 1 2049300 2091600 1
10001 1 1 2091600 2092200 2
10001 1 3 2092200 2093100 2
10001 971 1 2093100 2094000 4
10001 971 2 2094000 2094300 5
10001 1 2 2094300 2184300 3
10001 1 1 2184300 2184900 2
10001 1 3 2184900 2185800 2
10001 9910001 1 2185800 2228100 1
10001 1 1 2228100 2228700 2
10001 1 3 2228700 2229600 2
10001 971 1 2229600 2230500 4
10001 971 2 2230500 2230800 5
10001 1 2 2230800 2320800 3
10001 1 1 2320800 2321400 2
10001 1 3 2321400 2322300 2
10001 9910001 1 2322300 2364600 1
10001 1 1 2364600 2365200 2
10001 1 3 2365200 2366100 2
10001 970 1 2366100 2367000 4
10001 970 2 2367000 2367300 5
10001 970 1 2367300 2368200 4
10001 970 2 2368200 2368500 5
10001 970 1 2368500 2369400 4
10001 970 2 2369400 2369700 5
10001 1 2 2369700 2459700 3
10001 1 1 2459700 2460300 2
10001 1 3 2460300 2461200 2
10001 9910001 1 2461200 2503500 1
10001 1 1 2503500 2504100 2
10001 1 3 2504100 2505000 2
10001 971 1 2505000 2505900 4
10001 971 2 2505900 2506200 5
10001 970 1 2506200 2507100 4
10001 970 2 2507100 2507400 5
10001 970 1 2507400 2508300 4
10001 970 2 2508300 2508600 5
10001 1 2 2508600 2598600 3
10001 1 1 2598600 2599200 2
10001 1 3 2599200 2600100 2
10002 9910002 1 0 22500 1
10002 1 1 22500 23100 2
10002 1 3 23100 24000 2
10002 972 1 24000 24900 4
10002 972 2 24900 25200 5
10002 1 2 25200 115200 3
10002 1 1 115200 115800 2
10002 1 3 115800 116700 2
10002 9910002 1 116700 159000 1
10002 1 1 159000 159600 2
10002 1 3 159600 160500 2
10002 973 1 160500 161400 4
10002 973 2 161400 161700 5
10002 90400 1 161700 162300 6
10002 973 1 162300 163200 4
10002 973 2 163200 163500 5
10002 972 1 163500 164400 4
10002 972 2 164400 164700 5
10002 1 2 164700 254700 3
10002 1 1 254700 255300 2
10002 1 3 255300 256200 2
10002 9910002 1 256200 298500 1
10002 1 1 298500 299100 2
10002 1 3 299100 300000 2
10002 973 1 300000 300900 4
10002 973 2 300900 301200 5
10002 1 2 301200 391200 3
10002 1 1 391200 391800 2
10002 1 3 391800 392700 2
10002 9910002 1 392700 435000 1
10002 1 1 435000 435600 2
10002 1 3 435600 436500 2
10002 973 1 436500 437400 4
10002 973 2 437400 437700 5
10002 973 1 437700 438600 4
10002 973 2 438600 438900 5
10002 973 1 438900 439800 4
10002 973 2 439800 440100 5
10002 1 2 440100 530100 3
10002 1 1 530100 530700 2
10002 1 3 530700 531600 2
10002 9910002 1 531600 573900 1
10002 1 1 573900 574500 2
10002 1 3 574500 575400 2
10002 973 1 575400 576300 4
10002 973 2 576300 576600 5
10002 90400 1 576600 577200 6
10002 973 1 577200 578100 4
10002 973 2 578100 578400 5
10002 1 2 578400 668400 3
10002 1 1 668400 669000 2
10002 1 3 669000 669900 2
10002 9910002 1 669900 712200 1
10002 1 1 712200 712800 2
10002 1 3 712800 713700 2
10002 972 1 713700 714600 4
10002 972 2 714600 714900 5
10002 1 2 714900 804900 3
10002 1 1 804900 805500 2
10002 1 3 805500 806400 2
10002 9910002 1 806400 848700 1
10002 1 1 848700 849300 2
10002 1 3 849300 850200 2
10002 973 1 850200 851100 4
10002 973 2 851100 851400 5
10002 90400 1 851400 852000 6
10002 973 1 852000 852900 4
10002 973 2 852900 853200 5
10002 1 2 853200 943200 3
10002 1 1 943200 943800 2
10002 1 3 943800 944700 2
10002 9910002 1 944700 987000 1
10002 1 1 987000 987600 2
10002 1 3 987600 988500 2
10002 972 1 988500 989400 4
10002 972 2 989400 989700 5
10002 90400 1 989700 990300 6
10002 972 1 990300 991200 4
10002 972 2 991200 991500 5
10002 972 1 991500 992400 4
10002 972 2 992400 992700 5
10002 1 2 992700 1082700 3
10002 1 1 1082700 1083300 2
10002 1 3 1083300 1084200 2
10002 9910002 1 1084200 1126500 1
10002 1 1 1126500 1127100 2
10002 1 3 1127100 1128000 2
10002 973 1 1128000 1128900 4
10002 973 2 1128900 1129200 5
10002 973 1 1129200 1130100 4
10002 973 2 1130100 1130400 5
10002 1 2 1130400 1220400 3
10002 1 1 1220400 1221000 2
10002 1 3 1221000 1221900 2
10002 9910002 1 1221900 1264200 1
10002 1 1 1264200 1264800 2
10002 1 3 1264800 1265700 2
10002 973 1 1265700 1266600 4
10002 973 2 1266600 1266900 5
10002 1 2 1266900 1356900 3
10002 1 1 1356900 1357500 2
10002 1 3 1357500 1358400 2
10002 9910002 1 1358400 1400700 1
10002 1 1 1400700 1401300 2
10002 1 3 1401300 1402200 2
10002 973 1 1402200 1403100 4
10002 973 2 1403100 1403400 5
10002 973 1 1403400 1404300 4
10002 973 2 1404300 1404600 5
10002 1 2 1404600 1494600 3
10002 1 1 1494600 1495200 2
10002 1 3 1495200 1496100 2
10002 9910002 1 1496100 1538400 1
10002 1 1 1538400 1539000 2
10002 1 3 1539000 1539900 2
10002 972 1 1539900 1540800 4
10002 972 2 1540800 1541100 5
10002 973 1 1541100 1542000 4
10002 973 2 1542000 1542300 5
10002 972 1 1542300 1543200 4
10002 972 2 1543200 1543500 5
10002 1 2 1543500 1633500 3
10002 1 1 1633500 1634100 2
10002 1 3 1634100 1635000 2
10002 9910002 1 1635000 1677300 1
10002 1 1 1677300 1677900 2
10002 1 3 1677900 1678800 2
10002 973 1 1678800 1679700 4
10002 973 2 1679700 1680000 5
10002 1 2 1680000 1770000 3
10002 1 1 1770000 1770600 2
10002 1 3 1770600 1771500 2
10002 9910002 1 1771500 1813800 1
10002 1 1 1813800 1814400 2
10002 1 3 1814400 1815300 2
10002 973 1 1815300 1816200 4
10002 973 2 1816200 1816500 5
10002 972 1 1816500 1817400 4
10002 972 2 1817400 1817700 5
10002 973 1 1817700 1818600 4
10002 973 2 1818600 1818900 5
10002 973 1 1818900 1819800 4
10002 973 2 1819800 1820100 5
10002 973 1 1820100 1821000 4
10002 973 2 1821000 1821300 5
10002 1 2 1821300 1911300 3
10002 1 1 1911300 1911900 2
10002 1 3 1911900 1912800 2
10002 9910002 1 1912800 1955100 1
10002 1 1 1955100 1955700 2
10002 1 3 1955700 1956600 2
10002 972 1 1956600 1957500 4
10002 972 2 1957500 1957800 5
10002 90400 1 1957800 1958400 6
10002 972 1 1958400 1959300 4
10002 972 2 1959300 1959600 5
10002 1 2 1959600 2049600 3
10002 1 1 2049600 2050200 2
10002 1 3 2050200 2051100 2
10002 9910002 1 2051100 2093400 1
10002 1 1 2093400 2094000 2
10002 1 3 2094000 2094900 2
10002 972 1 2094900 2095800 4
10002 972 2 2095800 2096100 5
10002 1 2 2096100 2186100 3
10002 1 1 2186100 2186700 2
10002 1 3 2186700 2187600 2
10002 9910002 1 2187600 2229900 1
10002 1 1 2229900 2230500 2
