#Person location Sublocation StartTime EndTime Type
40029 1338 1 3742140 0 1
40029 1259 1 3744540 0 1
40003 1014 1 20518440 0 1
40053 1091 1 9672660 0 1
40053 5000 1 9682500 0 1
40021 970 1 9437460 0 1
40022 993 1 8724420 0 1
40022 976 1 8735940 0 1
40004 5253 1 8964120 0 1
40022 997 1 8856900 0 1
40039 969 1 10269660 0 1
40039 996 1 10276620 0 1
40000 974 1 9087120 0 1
40014 5254 1 8424240 0 1
40030 5182 1 8506320 0 1
40001 1039 1 10260540 0 1
40049 969 1 9047820 0 1
40005 974 1 8121840 0 1
40015 5187 1 8303760 0 1
40015 518 1 8314920 0 1
40015 987 1 8324580 0 1
40023 973 1 9845340 0 1
40006 976 1 8200320 0 1
40016 1031 1 9519540 0 1
40017 5302 1 8396400 0 1
40017 974 1 8399640 0 1
40054 5120 1 9058800 0 1
40054 986 1 9102000 0 1
40007 5263 1 8025060 0 1
40055 5302 1 9568140 0 1
40022 968 1 8704260 0 1
40022 997 1 8838180 0 1
40022 997 1 8868420 0 1
40031 973 1 8441460 0 1
40008 978 1 8116860 0 1
40008 978 1 8118300 0 1
40009 970 1 10191720 0 1
40018 1117 1 10143420 0 1
40040 1115 1 10161120 0 1
40024 5184 1 10494840 0 1
40030 968 1 8507040 0 1
40010 971 1 10324380 0 1
40041 5038 1 10385460 0 1
40041 5048 1 10386000 0 1
40001 1039 1 10261200 0 1
40049 5259 1 9047700 0 1
40049 915 1 9066840 0 1
40023 973 1 9848220 0 1
40006 976 1 8180160 0 1
40006 976 1 8196000 0 1
40017 981 1 8401740 0 1
40032 5256 1 8140200 0 1
40032 990 1 8144820 0 1
40032 990 1 8150400 0 1
40003 1014 1 20521080 0 1
40054 5064 1 9091380 0 1
40022 968 1 8715780 0 1
40004 5266 1 8949360 0 1
40033 5186 1 10091040 0 1
40039 5182 1 10269480 0 1
40034 5198 1 8958780 0 1
40002 994 1 10204200 0 1
40035 1096 1 8578920 0 1
40019 1069 1 17631300 0 1
40010 5113 1 10313640 0 1
40011 971 1 8704740 0 1
40011 1093 1 8720580 0 1
40006 976 1 8183040 0 1
40056 978 1 10156560 0 1
40007 969 1 8027220 0 1
40053 898 1 9649620 0 1
40053 1091 1 9682020 0 1
40053 506 1 9682320 0 1
40022 968 1 8692740 0 1
40033 975 1 10092420 0 1
40040 969 1 10155300 0 1
40000 1228 1 9113040 0 1
40042 969 1 9572400 0 1
40012 1439 1 14413200 0 1
40034 894 1 8965800 0 1
40035 1103 1 8579640 0 1
40014 5254 1 8424240 0 1
40024 5257 1 10497960 0 1
40030 994 1 8513940 0 1
40057 5186 1 9193320 0 1
40041 981 1 10388640 0 1
40043 981 1 9823920 0 1
40043 989 1 9831540 0 1
40001 1224 1 10260540 0 1
40049 992 1 9059640 0 1
40005 5302 1 8121780 0 1
40015 977 1 8309220 0 1
40006 976 1 8191680 0 1
40025 5185 1 8830320 0 1
40050 1151 1 30498660 0 1
40032 968 1 8140200 0 1
40053 898 1 9639540 0 1
40053 898 1 9646740 0 1
40053 520 1 9698280 0 1
40022 968 1 8717220 0 1
40022 993 1 8782020 0 1
40004 973 1 8951520 0 1
40022 997 1 8865540 0 1
40009 986 1 10194060 0 1
40033 5195 1 10090680 0 1
40014 5253 1 8424360 0 1
40013 975 1 10260660 0 1
40013 975 1 10269300 0 1
40043 976 1 9820440 0 1
40043 981 1 9824760 0 1
40001 5211 1 10249200 0 1
40001 976 1 10252320 0 1
40049 969 1 9051000 0 1
40011 1074 1 8684640 0 1
40006 976 1 8198880 0 1
40006 996 1 8202660 0 1
40050 5129 1 30498360 0 1
40029 1259 1 3743280 0 1
40056 995 1 10159140 0 1
40054 986 1 9083280 0 1
40054 986 1 9084720 0 1
40007 985 1 8032980 0 1
40055 969 1 9568320 0 1
40022 968 1 8697060 0 1
40004 984 1 8963040 0 1
40004 970 1 8978400 0 1
40022 522 1 8908740 0 1
40039 5182 1 10269660 0 1
40034 977 1 8960520 0 1
40035 5257 1 8558220 0 1
40014 1052 1 8420880 0 1
40014 974 1 8431200 0 1
40024 978 1 10515720 0 1
40010 971 1 10314300 0 1
40015 977 1 8312100 0 1
40011 971 1 8691780 0 1
40016 1035 1 9500820 0 1
40016 969 1 9501840 0 1
40058 764 1 11832660 0 1
40044 969 1 9547560 0 1
40007 5038 1 8025060 0 1
40007 969 1 8030100 0 1
40021 993 1 9447540 0 1
40026 7312 1 22596000 0 1
40022 968 1 8720100 0 1
40022 995 1 8803620 0 1
40022 522 1 8897220 0 1
40045 995 1 7899060 0 1
40045 995 1 7901940 0 1
40045 995 1 7907160 0 1
40008 978 1 8133900 0 1
40018 1117 1 10146600 0 1
40040 5257 1 10153740 0 1
40040 1115 1 10157280 0 1
40000 1228 1 9114480 0 1
40034 5189 1 8958780 0 1
40014 5043 1 8424420 0 1
40024 5302 1 10494840 0 1
40024 1111 1 10530120 0 1
40041 979 1 10387980 0 1
40001 1099 1 10249560 0 1
40011 971 1 8696100 0 1
40059 996 1 9302700 0 1
40059 5256 1 9303480 0 1
40007 969 1 8017140 0 1
40053 520 1 9682740 0 1
40022 968 1 8714340 0 1
40022 976 1 8728740 0 1
40022 997 1 8835300 0 1
40022 997 1 8836740 0 1
40004 5253 1 8964180 0 1
40004 984 1 8967360 0 1
40004 996 1 8983200 0 1
40060 975 1 9077820 0 1
40018 1117 1 10145160 0 1
40051 977 1 10482180 0 1
40061 878 1 9131580 0 1
40035 972 1 8558460 0 1
40030 968 1 8508480 0 1
40020 970 1 9751860 0 1
40057 975 1 9199260 0 1
40062 5183 1 10011000 0 1
40036 5186 1 8836140 0 1
40049 992 1 9051960 0 1
40049 992 1 9055320 0 1
40049 915 1 9062520 0 1
